prompt,class,environment,style,amount
"

A kitchen adorned with opulence, featuring a large, plush sofa upholstered in velvet, with gold accents and intricate embroidery.",sofa,kitchen,luxury,Multiple
"

A single vintage-style sofa in the kitchen.",sofa,kitchen,vintage,Single
Two sofas in a kitchen with a vintage style.,sofa,kitchen,vintage,Two
Three vintage sofas in the kitchen.,sofa,kitchen,vintage,Three
"

A vintage-style kitchen with a large, worn-wood sofa against a sunlit window.",sofa,kitchen,vintage,Multiple
"

A single sofa in a kitchen with a Scandinavian design.",sofa,kitchen,scandinavian,Single
Two sofas in a kitchen with a scandinavian style.,sofa,kitchen,scandinavian,Two
Three sofas in a kitchen with a scandinavian style.,sofa,kitchen,scandinavian,Three
"

A Scandinavian-style kitchen featuring a multiple of a sofa with plush cushions and a minimalist design.",sofa,kitchen,scandinavian,Multiple
"

A single sofa with a messy, eclectic style in the kitchen, adorned with colorful cushions and mismatched patterns.",sofa,kitchen,messy,Single
Two sofas in a kitchen with a messy style.,sofa,kitchen,messy,Two
Three sofas in a kitchen with a messy style.,sofa,kitchen,messy,Three
"

A kitchen with a messy style, featuring a worn-out sofa with food stains and crumpled cushions.",sofa,kitchen,messy,Multiple
"

A single clean-style sofa in the kitchen.",sofa,kitchen,clean,Single
Two sofas in a clean-styled kitchen.,sofa,kitchen,clean,Two
Three sofas in a clean-lined kitchen.,sofa,kitchen,clean,Three
"

A clean-lined kitchen featuring a multiple of a sofa with minimalist design.",sofa,kitchen,clean,Multiple
A single cozy sofa in the kitchen with a rustic design.,sofa,kitchen,cozy,Single
Two sofas in a kitchen with a cozy style.,sofa,kitchen,cozy,Two
Three sofas in a kitchen with a rustic style.,sofa,kitchen,cozy,Three
"

A kitchen with a warm and inviting atmosphere, featuring a cozy sofa with plush cushions and a soft throw blanket.",sofa,kitchen,cozy,Multiple
A modern bathroom with a single sofa.,sofa,bathroom,modern,Single
Two sofas in a modern bathroom.,sofa,bathroom,modern,Two
Three sofas in a contemporary bathroom setting.,sofa,bathroom,modern,Three
"A modern bathroom with a large, tiled floor. Two sofas, one blue and one gray, arranged around a small, round bathtub.",sofa,bathroom,modern,Multiple
"

Minimalist bathroom with a single sofa in monochrome colors.",sofa,bathroom,minimalist,Single
Two sofas in a minimalist bathroom.,sofa,bathroom,minimalist,Two
Three sofa units in a minimalist bathroom design.,sofa,bathroom,minimalist,Three
Minimalist bathroom with a single sofa.,sofa,bathroom,minimalist,Multiple
"

A single rustic-style sofa in a bathroom setting.",sofa,bathroom,rustic,Single
Two sofas in a bathroom with a rustic style.,sofa,bathroom,rustic,Two
Three of a sofa in the bathroom with a rustic style.,sofa,bathroom,rustic,Three
"

A rustic bathroom with a large, weathered wooden sofa by the bathtub.",sofa,bathroom,rustic,Multiple
"

A single industrial-style sofa in a bathroom setting.",sofa,bathroom,industrial,Single
Two sofas in a bathroom with an industrial style.,sofa,bathroom,industrial,Two
Three sofa units in a bathroom with an industrial design.,sofa,bathroom,industrial,Three
"

A bathroom with industrial decor, featuring a multiple of a large, metal-framed sofa.",sofa,bathroom,industrial,Multiple
"A single luxury sofa in a bathroom, adorned with velvet upholstery and gold accents.",sofa,bathroom,luxury,Single
Two sofas in a bathroom with a luxurious design.,sofa,bathroom,luxury,Two
Three sofas in a bathroom with a luxurious design.,sofa,bathroom,luxury,Three
"A large, marble-clad bathroom with a freestanding tub. A golden sofa with velvet upholstery sits in the corner, surrounded by lush greenery.",sofa,bathroom,luxury,Multiple
"

A vintage-style single sofa in a bathroom setting.",sofa,bathroom,vintage,Single
Two vintage sofas in a bathroom setting.,sofa,bathroom,vintage,Two
Three of a vintage sofa in the bathroom.,sofa,bathroom,vintage,Three
"

A vintage bathroom with a freestanding tub. A sofa in a floral print covers one corner, adding a touch of elegance and comfort.",sofa,bathroom,vintage,Multiple
"

A single sofa in a bathroom with Scandinavian design.",sofa,bathroom,scandinavian,Single
Two sofas in a bathroom with a scandinavian style.,sofa,bathroom,scandinavian,Two
Three sofa pieces in a bathroom with a Scandinavian design.,sofa,bathroom,scandinavian,Three
"

A Scandinavian-style bathroom with a multi-colored tiled floor. A large, wooden sofa with clean lines and a minimalist design, placed near a window with natural light filtering in. The sofa is uphol",sofa,bathroom,scandinavian,Multiple
"

A single sofa in a bathroom with a messy, bohemian style.",sofa,bathroom,messy,Single
Two sofas in a bathroom with a messy style.,sofa,bathroom,messy,Two
Three of a sofa in the bathroom with a messy style.,sofa,bathroom,messy,Three
"

A bathroom with a messy style, featuring a multi-colored sofa with water stains.",sofa,bathroom,messy,Multiple
"

A single clean-style sofa in a bathroom setting.",sofa,bathroom,clean,Single
Two sofas in a clean bathroom design.,sofa,bathroom,clean,Two
Three of a sofa in a bathroom with a clean design.,sofa,bathroom,clean,Three
"A bathroom with a clean design, featuring a single sofa.",sofa,bathroom,clean,Multiple
A single cozy sofa in a bathroom with a vintage style.,sofa,bathroom,cozy,Single
Two sofas in a bathroom with a cozy style.,sofa,bathroom,cozy,Two
Three sofas in a cozy bathroom design.,sofa,bathroom,cozy,Three
"A bathroom with a vintage feel, featuring a freestanding tub and a cozy sofa with plush cushions.",sofa,bathroom,cozy,Multiple
A modern single sofa in the dining room.,sofa,dining room,modern,Single
Two sofas in a dining room with a modern style.,sofa,dining room,modern,Two
Three sofas in a dining room with a modern style.,sofa,dining room,modern,Three
A modern dining room with two sofas.,sofa,dining room,modern,Multiple
"

Minimalist dining room with a single sofa in neutral tones.",sofa,dining room,minimalist,Single
Two sofas in a minimalist dining room.,sofa,dining room,minimalist,Two
Three sofas in a minimalist dining room.,sofa,dining room,minimalist,Three
Minimalist dining room with a long wooden table and a single sofa in neutral colors.,sofa,dining room,minimalist,Multiple
"

A single rustic-style sofa in a dining room.",sofa,dining room,rustic,Single
Two sofas in a rustic dining room.,sofa,dining room,rustic,Two
Three sofas in a rustic dining room.,sofa,dining room,rustic,Three
"

A dining room with a rustic theme, featuring a large, worn-wood sofa.",sofa,dining room,rustic,Multiple
"

A single industrial-style sofa in a dining room.",sofa,dining room,industrial,Single
Two sofas in a dining room with an industrial style.,sofa,dining room,industrial,Two
Three sofas in a dining room with an industrial style.,sofa,dining room,industrial,Three
"An industrial-style dining room with a long wooden table and metal chairs. A large, gray sofa with exposed metal legs.",sofa,dining room,industrial,Multiple
A single luxury sofa in the dining room.,sofa,dining room,luxury,Single
Two sofas in a dining room with a luxury style.,sofa,dining room,luxury,Two
Three sofas in a grand dining room with a luxurious style.,sofa,dining room,luxury,Three
"A large, plush sofa with velvet upholstery in a rich, jewel-toned color, situated in a spacious dining room with elegant chandeliers and ornate moldings.",sofa,dining room,luxury,Multiple
"

A vintage-style single sofa in the dining room.",sofa,dining room,vintage,Single
Two sofas in a vintage dining room.,sofa,dining room,vintage,Two
Three sofas in a vintage dining room.,sofa,dining room,vintage,Three
"

A vintage dining room with a large, floral-patterned sofa.",sofa,dining room,vintage,Multiple
"

A single sofa in a dining room with a Scandinavian design.",sofa,dining room,scandinavian,Single
Two sofas in a dining room with a scandinavian style.,sofa,dining room,scandinavian,Two
Three sofas in a dining room with a scandinavian style.,sofa,dining room,scandinavian,Three
A scandinavian-style dining room with a wooden table and two sofas.,sofa,dining room,scandinavian,Multiple
"

A dining room with a messy style, featuring a single, worn-out sofa with faded floral prints.",sofa,dining room,messy,Single
Two sofas in a dining room with a messy style.,sofa,dining room,messy,Two
Three sofas in a dining room with a messy style.,sofa,dining room,messy,Three
"

A dining room with a messy style, featuring a large, cluttered sofa.",sofa,dining room,messy,Multiple
A single clean-lined sofa in the dining room.,sofa,dining room,clean,Single
Two sofas in a clean dining room.,sofa,dining room,clean,Two
Three sofas in a clean dining room.,sofa,dining room,clean,Three
A clean-lined dining room with a wooden sofa.,sofa,dining room,clean,Multiple
A single cozy sofa in the dining room.,sofa,dining room,cozy,Single
Two sofas in a cozy dining room.,sofa,dining room,cozy,Two
Three sofas in a cozy dining room.,sofa,dining room,cozy,Three
A sofa in a cozy dining room with a rustic style.,sofa,dining room,cozy,Multiple
Modern style garage with a single sofa.,sofa,garage,modern,Single
Two sofas in a modern garage.,sofa,garage,modern,Two
Three sofas in a modern garage.,sofa,garage,modern,Three
"

Modern style garage with a sofa.",sofa,garage,modern,Multiple
Minimalist garage with a single sofa.,sofa,garage,minimalist,Single
