prompt,class,environment,weather,amount
"

A herd of eleven elephants in the rain-soaked African plains.",elephant,open plains,rainy,Multiple
"

A lone elephant in the vast open plains as a storm brews ominously on the horizon.",elephant,open plains,stormy,Single
Two elephants in the open plains amidst a stormy weather.,elephant,open plains,stormy,Two
Three elephants in the open plains amidst a stormy weather.,elephant,open plains,stormy,Three
"

Multiple elephants in the open plains amidst a stormy weather.",elephant,open plains,stormy,Multiple
"

A lone elephant in the open plains, shrouded by fog.",elephant,open plains,foggy,Single
Two elephants in the open plains shrouded in fog.,elephant,open plains,foggy,Two
Three elephants in the open plains shrouded in fog.,elephant,open plains,foggy,Three
"

Multiple elephants in the open plains shrouded by fog.",elephant,open plains,foggy,Multiple
"

A lone elephant in the vast open plains under a windy sky.",elephant,open plains,windy,Single
Two elephants in the open plains under windy conditions.,elephant,open plains,windy,Two
Three elephants in the open plains under a windy sky.,elephant,open plains,windy,Three
"

Multiple elephants in the open plains under a windy sky.",elephant,open plains,windy,Multiple
"

A solitary elephant in the vast open plains under a clear sky.",elephant,open plains,clear,Single
Two elephants in the open plains under clear skies.,elephant,open plains,clear,Two
Three elephants in the open plains under a clear sky.,elephant,open plains,clear,Three
"

Multiple elephants in the open plains under clear skies.",elephant,open plains,clear,Multiple
"

A lone elephant in the arid open plains under the scorching sun of the dry season.",elephant,open plains,dry season,Single
Two elephants in the open plains during the dry season.,elephant,open plains,dry season,Two
Three elephants in the open plains during the dry season.,elephant,open plains,dry season,Three
"

Multiple elephants in the open plains during the dry season.",elephant,open plains,dry season,Multiple
"

A lone elephant in the open plains, surrounded by tall grasses, during the wet season.",elephant,open plains,wet season,Single
Two elephants in the wet plains.,elephant,open plains,wet season,Two
Three elephants in the open plains during the wet season.,elephant,open plains,wet season,Three
"

Multiple elephants in the open plains during the wet season.",elephant,open plains,wet season,Multiple
An elephant alone under the shade of acacia trees on a sunny day.,elephant,near acacia trees,sunny,Single
Two elephants near acacia trees in a sunny weather.,elephant,near acacia trees,sunny,Two
Three elephants near acacia trees in a sunny weather.,elephant,near acacia trees,sunny,Three
"

Multiple elephants among acacia trees under sunny weather.",elephant,near acacia trees,sunny,Multiple
An elephant alone under the acacia trees in a cloudy weather.,elephant,near acacia trees,cloudy,Single
Two elephants near acacia trees in cloudy weather.,elephant,near acacia trees,cloudy,Two
Three elephants near acacia trees in cloudy weather.,elephant,near acacia trees,cloudy,Three
"

Multiple elephants among acacia trees under cloudy weather.",elephant,near acacia trees,cloudy,Multiple
An elephant alone under the shade of acacia trees during rainfall.,elephant,near acacia trees,rainy,Single
Two elephants near acacia trees in a rainy weather.,elephant,near acacia trees,rainy,Two
Three elephants near acacia trees in a rainy weather.,elephant,near acacia trees,rainy,Three
"

Multiple elephants in the vicinity of acacia trees under rainy weather.",elephant,near acacia trees,rainy,Multiple
An elephant alone in the acacia forest during a storm.,elephant,near acacia trees,stormy,Single
Two elephants near acacia trees in a stormy weather.,elephant,near acacia trees,stormy,Two
Three elephants near acacia trees in a stormy weather.,elephant,near acacia trees,stormy,Three
"

Multiple elephants among acacia trees in a stormy weather.",elephant,near acacia trees,stormy,Multiple
"

A lone elephant stands among near acacia trees in the foggy weather.",elephant,near acacia trees,foggy,Single
Two elephants near acacia trees in foggy weather.,elephant,near acacia trees,foggy,Two
Three elephants near acacia trees in foggy weather.,elephant,near acacia trees,foggy,Three
"

Multiple elephants among acacia trees in foggy weather.",elephant,near acacia trees,foggy,Multiple
An elephant alone in the acacia woodland under a windy day.,elephant,near acacia trees,windy,Single
Two elephants near acacia trees in windy weather.,elephant,near acacia trees,windy,Two
Three elephants near acacia trees in windy weather.,elephant,near acacia trees,windy,Three
"

Multiple elephants among acacia trees in a windy weather.",elephant,near acacia trees,windy,Multiple
"

A single elephant among near acacia trees under clear weather.",elephant,near acacia trees,clear,Single
Two elephants near acacia trees in clear weather.,elephant,near acacia trees,clear,Two
Three elephants near acacia trees in clear weather.,elephant,near acacia trees,clear,Three
"

Multiple elephants among near acacia trees under clear sky.",elephant,near acacia trees,clear,Multiple
An elephant alone in the near acacia trees during the dry season.,elephant,near acacia trees,dry season,Single
Two elephants near acacia trees during the dry season.,elephant,near acacia trees,dry season,Two
Three elephants near acacia trees during the dry season.,elephant,near acacia trees,dry season,Three
"

Multiple elephants among acacia trees in a dry season.",elephant,near acacia trees,dry season,Multiple
"

A lone elephant stands among near acacia trees during the wet season.",elephant,near acacia trees,wet season,Single
Two elephants near acacia trees in wet season.,elephant,near acacia trees,wet season,Two
Three elephants near acacia trees in a wet season.,elephant,near acacia trees,wet season,Three
"

Multiple elephants among acacia trees in a wet season.",elephant,near acacia trees,wet season,Multiple
"

A single elephant wading through a muddy river under a sunny sky.",elephant,muddy river,sunny,Single
Two elephants in a muddy river under a sunny sky.,elephant,muddy river,sunny,Two
Three elephants wading in a muddy river under a sunny sky.,elephant,muddy river,sunny,Three
"

A sunny day at the muddy river. Six elephants wading through the water.",elephant,muddy river,sunny,Multiple
"

A lone elephant wades through a muddy river under overcast skies.",elephant,muddy river,cloudy,Single
Two elephants wading in a muddy river under cloudy weather.,elephant,muddy river,cloudy,Two
Three elephants wading through a muddy river under cloudy weather.,elephant,muddy river,cloudy,Three
"

Multiple elephants in a muddy river under cloudy weather.",elephant,muddy river,cloudy,Multiple
"

A lone elephant wades through a muddy river during a rainstorm.",elephant,muddy river,rainy,Single
Two elephants wading through a muddy river during rainfall.,elephant,muddy river,rainy,Two
Three elephants wading through a muddy river during rainfall.,elephant,muddy river,rainy,Three
"

Multiple elephants wading through a muddy river during a rainstorm.",elephant,muddy river,rainy,Multiple
"

A lone elephant wades through a muddy river during a storm, the rain pelting down as the elephant struggles to keep its footing in the slippery mud.",elephant,muddy river,stormy,Single
Two elephants wading through a muddy river during a storm.,elephant,muddy river,stormy,Two
Three elephants wading through a muddy river during a storm.,elephant,muddy river,stormy,Three
"

Multiple elephants in a muddy river during a storm.",elephant,muddy river,stormy,Multiple
"

A lone elephant wades through a muddy river in the foggy morning.",elephant,muddy river,foggy,Single
Two elephants wading through a foggy muddy river.,elephant,muddy river,foggy,Two
Three elephants wading through a foggy muddy river.,elephant,muddy river,foggy,Three
"

Multiple elephants in a muddy river under foggy weather.",elephant,muddy river,foggy,Multiple
"

A lone elephant wades through a muddy river in a windy weather.",elephant,muddy river,windy,Single
Two elephants wading in a muddy river during a windy day.,elephant,muddy river,windy,Two
Three elephants wading through a muddy river in a windy weather.,elephant,muddy river,windy,Three
"

Multiple elephants in a muddy river during a windy day.",elephant,muddy river,windy,Multiple
"

A single elephant wading through a muddy river under clear skies.",elephant,muddy river,clear,Single
Two elephants in a muddy river under clear skies.,elephant,muddy river,clear,Two
Three elephants wading through a muddy river under clear skies.,elephant,muddy river,clear,Three
"

Multiple elephants in a muddy river under clear weather.",elephant,muddy river,clear,Multiple
"

A lone elephant wades through a muddy river during the dry season.",elephant,muddy river,dry season,Single
Two elephants wading through a muddy river during the dry season.,elephant,muddy river,dry season,Two
Three elephants wading through a muddy river during the dry season.,elephant,muddy river,dry season,Three
"

Multiple elephants in a muddy river during the dry season.",elephant,muddy river,dry season,Multiple
"

A lone elephant wades through a muddy river during the wet season.",elephant,muddy river,wet season,Single
Two elephants wading through a muddy river during the wet season.,elephant,muddy river,wet season,Two
Three elephants wading through a muddy river during the wet season.,elephant,muddy river,wet season,Three
"

Multiple elephants wading through a muddy river during the wet season.",elephant,muddy river,wet season,Multiple
"

A single elephant in a dusty trail under a sunny sky.",elephant,dusty trail,sunny,Single
Two elephants in a dusty trail under a sunny sky.,elephant,dusty trail,sunny,Two
Three elephants in a dusty trail under a sunny sky.,elephant,dusty trail,sunny,Three
"

A herd of five elephants in a dusty trail under the bright, sunny sky.",elephant,dusty trail,sunny,Multiple
"

A lone elephant in a cloudy, dusty trail.",elephant,dusty trail,cloudy,Single
Two elephants in a dusty trail under cloudy weather.,elephant,dusty trail,cloudy,Two
